dataset	sf_avg	sxA_avg	sxB_avg	ss_avg	successive_ss_avg	piA_avg	piB_avg	thetaA_avg	thetaB_avg	DtajA_avg	DtajB_avg	divAB_avg	netdivAB_avg	FST_avg	ss_sf	ss_noSf	noSs_sf	noSs_noSf	allocation	post_proba
LG04_9625000_9630000	0	0.00082	0.00658	0.00165	1	0.00129	0.0033	0.00108	0.0036	1.17049	-0.52863	0.00307	0.00078	0.15578	0	1	0	0	migration	1
LG04_10525000_10530000	0	0.0025	0.01148	0.00167	2	0.00189	0.00595	0.00183	0.00576	0.21936	0.21956	0.00509	0.00117	0.13953	0	1	0	0	migration	1
LG04_10755000_10760000	0	0.0034	0.00807	0.00318	6	0.00252	0.00439	0.00288	0.00493	-0.79859	-0.7032	0.00602	0.00256	0.28806	0	1	0	0	migration	1
LG04_10845000_10850000	0	0.00102	0.01637	0.00552	5	0.00308	0.009	0.00287	0.00959	0.47638	-0.39487	0.00766	0.00162	0.12748	0	1	0	0	migration	1
LG04_11295000_11300000	0	0.00334	0.00959	0.00208	1	0.00232	0.00446	0.00237	0.00511	-0.14044	-0.81805	0.0042	0.00081	0.11565	0	1	0	0	migration	1
LG04_11455000_11460000	0	0.00541	0.01374	0.00458	3	0.00479	0.00719	0.00438	0.00802	0.60247	-0.67114	0.00777	0.00178	0.13974	0	1	0	0	migration	1
LG04_13125000_13130000	0	0.00414	0.0058	0.00331	2	0.00301	0.00363	0.00327	0.00399	-0.49778	-0.5761	0.0042	0.00088	0.12618	0	1	0	0	migration	1
LG04_13305000_13310000	0	0.00167	0.00625	0.00083	1	0.00101	0.00281	0.0011	0.0031	-0.45006	-0.60775	0.00254	0.00063	0.15147	0	1	0	0	migration	1
LG04_14465000_14470000	0	0.00292	0.00792	0.00146	1	0.00174	0.00399	0.00192	0.00411	-0.58789	-0.18648	0.00329	0.00043	0.0751	0	1	0	0	migration	1
LG04_14785000_14790000	0.00146	0.00605	0.02649	0.00125	1	0.00296	0.01175	0.0032	0.01215	-0.46824	-0.21294	0.01104	0.00369	0.21471	1	0	0	0	migration	1
LG04_15090000_15095000	0	0.00542	0.00771	0.00334	8	0.00352	0.00395	0.00384	0.00484	-0.53033	-1.18213	0.00721	0.00347	0.33666	0	1	0	0	migration	1
LG04_16410000_16415000	0	0.00271	0.00937	0.00062	0	0.00131	0.00333	0.00146	0.00438	-0.65366	-1.52951	0.00774	0.00542	0.56053	0	1	0	0	migration	1
LG04_16430000_16435000	0	0.00378	0.00902	0.0021	1	0.00243	0.0046	0.00257	0.00487	-0.34169	-0.35321	0.00486	0.00134	0.17233	0	1	0	0	migration	1
LG04_16815000_16820000	0	0.00417	0.00562	0.00104	2	0.00211	0.00274	0.00228	0.00292	-0.46924	-0.39904	0.00309	0.00067	0.13046	0	1	0	0	migration	1
LG04_17040000_17045000	0	0.0025	0.00582	0.00104	0	0.00136	0.0028	0.00155	0.00301	-0.75974	-0.43324	0.00238	3e-04	0.07303	0	1	0	0	migration	1
LG04_17200000_17205000	0	0.00148	0.00633	0.00317	5	0.0022	0.00403	0.00203	0.00416	0.49788	-0.20811	0.00407	0.00096	0.14401	0	1	0	0	migration	1
LG04_17480000_17485000	0	0.00335	0.00795	0.00481	3	0.00372	0.00513	0.00357	0.00559	0.26867	-0.52495	0.00467	0.00024	0.02919	0	1	0	0	migration	1
LG04_19205000_19210000	0	0.00189	0.00589	0.00231	1	0.00187	0.00355	0.00184	0.00359	0.07671	-0.07975	0.00279	9e-05	0.01713	0	1	0	0	migration	1
LG04_19470000_19475000	0	0.00603	0.00437	0.00395	2	0.00379	0.00365	0.00437	0.00364	-0.85946	0.00549	0.00422	5e-04	0.06856	0	1	0	0	migration	1
LG04_19790000_19795000	0.00021	0.00493	0.00616	0.00616	8	0.005	0.0056	0.00486	0.0054	0.18547	0.24192	0.00585	0.00055	0.054	1	0	0	0	migration	1
LG04_20280000_20285000	0	0.00332	0.00602	0.00788	4	0.00492	0.0055	0.00491	0.00609	0.0227	-0.61622	0.00522	1e-05	0.00072	0	1	0	0	migration	1
LG04_20575000_20580000	0.00402	0.00296	0.01101	0.00021	0	0.00152	0.00425	0.00139	0.00491	0.59173	-0.86898	0.00782	0.00493	0.48258	1	0	0	0	migration	1
LG04_22030000_22035000	0	0.00579	0.00331	0.00909	7	0.00653	0.00583	0.00652	0.00543	0.01372	0.47015	0.00619	1e-05	0.00081	0	1	0	0	migration	1
LG04_22110000_22115000	0	0.00497	0.006	0.00869	9	0.00614	0.00662	0.00598	0.00644	0.16952	0.18746	0.0069	0.00052	0.04235	0	1	0	0	migration	1
LG04_22405000_22410000	0	0.00394	0.00249	0.00415	4	0.00347	0.00302	0.00355	0.00291	-0.12952	0.23489	0.0036	0.00035	0.05599	0	1	0	0	migration	1
LG04_22690000_22695000	0	0.00314	0.01191	0.01108	11	0.00725	0.01088	0.00623	0.01007	1.05595	0.5225	0.00945	0.00039	0.02281	0	1	0	0	migration	1
LG04_22900000_22905000	0	0.00433	0.0103	0.01092	3	0.00644	0.00926	0.00668	0.0093	-0.22707	-0.02525	0.00837	0.00052	0.0347	0	1	0	0	migration	1
LG04_23055000_23060000	0	0.00792	0.00792	0.01013	7	0.00844	0.00784	0.0079	0.0079	0.43486	-0.05612	0.00824	0.00011	0.007	0	1	0	0	migration	1
LG04_23690000_23695000	0	0.00281	0.0089	0.00797	4	0.00437	0.00704	0.00472	0.00739	-0.46978	-0.2995	0.00569	-2e-05	-0.00199	0	1	0	0	migration	1
LG04_24605000_24610000	0	0.00228	0.00621	0.01035	9	0.00555	0.00692	0.00553	0.00726	0.02037	-0.30123	0.00589	-0.00034	-0.03093	0	1	0	0	migration	1
LG04_24955000_24960000	0	0.00329	0.00926	0.00658	3	0.00429	0.00661	0.00432	0.00694	-0.04728	-0.30381	0.00675	0.0013	0.11533	0	1	0	0	migration	1
LG05_310000_315000	0	0.00447	0.00568	0.00447	3	0.00376	0.00429	0.00391	0.00444	-0.24439	-0.22368	0.00505	0.00103	0.12207	0	1	0	0	migration	1
LG05_1205000_1210000	0	0.0046	0.00564	0.0046	5	0.00404	0.00447	0.00403	0.00449	0.02098	-0.01786	0.00491	0.00065	0.07742	0	1	0	0	migration	1
LG05_1525000_1530000	2e-04	0.01266	0.00613	0.00408	1	0.00768	0.00414	0.00734	0.00447	0.30314	-0.47727	0.00676	0.00085	0.07301	1	0	0	0	migration	1
LG05_3465000_3470000	0	0.00206	0.00686	0.0032	2	0.00215	0.00378	0.0023	0.00441	-0.41966	-0.90782	0.00296	-1e-05	-0.00094	0	1	0	0	migration	1
LG05_4310000_4315000	0	0.00416	0.00548	0.00438	3	0.00381	0.00389	0.00374	0.00432	0.11935	-0.64076	0.00391	6e-05	0.00821	0	1	0	0	migration	1
LG05_4965000_4970000	0	0.00534	0.00598	0.00748	7	0.00535	0.00602	0.00561	0.00589	-0.29606	0.14187	0.00603	0.00034	0.03152	0	1	0	0	migration	1
LG05_5655000_5660000	0	0.00254	0.011	0.00571	6	0.00371	0.00763	0.00361	0.00732	0.16913	0.27362	0.00682	0.00115	0.09939	0	1	0	0	migration	1
LG05_5715000_5720000	0	0.00251	0.00858	0.00272	2	0.00208	0.00452	0.00229	0.00495	-0.58431	-0.556	0.00343	0.00013	0.02107	0	1	0	0	migration	1
LG05_6015000_6020000	0	0.00397	0.01046	0.00669	7	0.00443	0.00778	0.00467	0.00751	-0.32592	0.23129	0.00669	0.00059	0.0497	0	1	0	0	migration	1
LG05_6620000_6625000	0	0.00415	0.0162	0.0081	3	0.00501	0.0098	0.00537	0.01064	-0.42416	-0.51034	0.00888	0.00148	0.09808	0	1	0	0	migration	1
LG05_6855000_6860000	0	0.00816	0.00653	0.00795	8	0.00799	0.00495	0.00706	0.00634	0.85758	-1.41422	0.00769	0.00122	0.09333	0	1	0	0	migration	1
LG05_7890000_7895000	0	0.00478	0.00831	0.00083	1	0.00263	0.00435	0.00246	0.004	0.44959	0.55173	0.00541	0.00192	0.23107	0	1	0	0	migration	1
LG05_7935000_7940000	0.00145	0.00497	0.01243	0.00477	6	0.00495	0.00655	0.00427	0.00753	1.0207	-0.84312	0.01019	0.00444	0.29654	1	0	0	0	migration	1
LG05_8205000_8210000	0	0.00329	0.00657	0.00144	0	0.00168	0.00288	0.00207	0.00351	-1.16795	-1.14991	0.00227	-1e-05	-0.00219	0	1	0	0	migration	1
LG05_8585000_8590000	0	0.00553	0.02314	0.01126	12	0.00699	0.01395	0.00735	0.01506	-0.31957	-0.47987	0.01115	0.00068	0.03412	0	1	0	0	migration	1
LG05_10660000_10665000	0	0.00291	0.00936	0.00437	4	0.00358	0.00602	0.00319	0.00601	0.77657	0.00628	0.00546	0.00066	0.06944	0	1	0	0	migration	1
LG05_11995000_12000000	0	0.00274	0.00842	0.00421	1	0.0032	0.00519	0.00304	0.00553	0.32846	-0.39387	0.00468	0.00048	0.05894	0	1	0	0	migration	1
LG05_12730000_12735000	0	0.00924	0.00714	0.00567	4	0.00591	0.00552	0.00653	0.00561	-0.61338	-0.10794	0.00679	0.00108	0.09333	0	1	0	0	migration	1
LG05_16450000_16455000	0	0.00271	0.00584	0.00125	3	0.00145	0.00296	0.00174	0.00311	-1.03974	-0.29474	0.00338	0.00118	0.22597	0	1	0	0	migration	1
LG05_16635000_16640000	0	0.0026	0.00663	0.0045	4	0.00268	0.00481	0.00311	0.00487	-0.87044	-0.07792	0.0041	0.00035	0.04914	0	1	0	0	migration	1
LG05_16880000_16885000	0	0.00402	0.00647	0.0096	12	0.00579	0.0067	0.00596	0.00704	-0.18813	-0.31312	0.006	-0.00024	-0.02147	0	1	0	0	migration	1
LG05_17490000_17495000	0	0.00598	0.00342	0.00683	4	0.00588	0.00453	0.00561	0.00449	0.30713	0.05424	0.00565	0.00044	0.04444	0	1	0	0	migration	1
LG05_18225000_18230000	0	0.00643	0.00913	0.02158	13	0.01213	0.01329	0.01227	0.01345	-0.07203	-0.07508	0.01308	0.00037	0.01568	0	1	0	0	migration	1
LG05_18870000_18875000	0	0.00433	0.00721	0.01298	13	0.00756	0.00933	0.00758	0.00884	-0.02134	0.35336	0.00914	0.00069	0.0429	0	1	0	0	migration	1
LG05_19315000_19320000	0	0.00274	0.00715	0.00231	1	0.00212	0.00393	0.00221	0.00415	-0.2659	-0.33791	0.00332	3e-04	0.05085	0	1	0	0	migration	1
LG05_19510000_19515000	0	0.00423	0.00571	0.00592	4	0.00412	0.00512	0.00445	0.00509	-0.47368	0.02995	0.00475	0.00013	0.01504	0	1	0	0	migration	1
LG05_19815000_19820000	0	0.00463	0.01127	0.01832	8	0.01052	0.01302	0.01005	0.01296	0.3032	0.0289	0.01153	-0.00024	-0.01122	0	1	0	0	migration	1
LG05_20735000_20740000	0.00021	0.00659	0.00968	0.01359	19	0.00868	0.0103	0.00884	0.01019	-0.1184	0.0668	0.00977	0.00028	0.01605	1	0	0	0	migration	1
LG06_300000_305000	0	0.00314	0.00377	0.00063	0	0.00147	0.00193	0.00165	0.00193	-0.69679	0.00199	0.00199	0.00029	0.08615	0	1	0	0	migration	1
LG06_1315000_1320000	0.00021	0.00104	0.01003	0.00355	3	0.00203	0.00578	0.00201	0.00595	0.06398	-0.18089	0.00515	0.00125	0.14824	1	0	0	0	migration	1
LG06_1370000_1375000	0	0.00153	0.00656	0.00437	3	0.00265	0.00462	0.00258	0.00479	0.16476	-0.22368	0.00364	1e-05	0.00109	0	1	0	0	migration	1
LG06_2590000_2595000	0	0.00522	0.01425	0.00723	4	0.00578	0.00874	0.00545	0.00941	0.38987	-0.45927	0.00817	0.00091	0.06429	0	1	0	0	migration	1
LG06_2800000_2805000	0.00061	0.00853	0.00284	0.00284	5	0.00448	0.00263	0.00498	0.00249	-0.64357	0.34571	0.00509	0.00153	0.19061	1	0	0	0	migration	1
LG06_3290000_3295000	0	0.00081	0.00732	0	0	0.00049	0.00262	0.00036	0.00321	2.00579	-1.17058	0.00525	0.0037	0.56531	0	0	0	1	migration	1
LG06_3375000_3380000	0	0.00273	0.01239	0.00777	4	0.00469	0.00851	0.0046	0.00883	0.12743	-0.23211	0.00675	0.00015	0.01257	0	1	0	0	migration	1
LG06_3465000_3470000	0	0.01046	0.00921	0.00146	1	0.00445	0.0045	0.00522	0.00467	-0.95086	-0.23026	0.00815	0.00367	0.309	0	1	0	0	migration	1
LG06_3810000_3815000	0	0.00207	0.00934	0.00041	0	0.00115	0.00367	0.00109	0.00427	0.32163	-0.90707	0.0029	5e-04	0.10141	0	1	0	0	migration	1
LG06_3835000_3840000	0	0.0025	0.00562	0.00833	12	0.00383	0.00654	0.00474	0.00611	-1.23133	0.45112	0.00535	0.00016	0.01652	0	1	0	0	migration	1
LG06_4210000_4215000	0	0.00165	0.01153	0.00309	4	0.00191	0.00544	0.00207	0.0064	-0.5028	-0.97238	0.00381	0.00014	0.01998	0	1	0	0	migration	1
LG06_4545000_4550000	0	0.00332	0.00602	0.00685	8	0.00432	0.0056	0.00445	0.00563	-0.19694	-0.03629	0.00527	0.00031	0.03286	0	1	0	0	migration	1
LG06_6405000_6410000	0	0.00566	0.00671	0.00168	1	0.00308	0.0039	0.00321	0.00367	-0.27461	0.39395	0.00429	8e-04	0.11109	0	1	0	0	migration	1
LG06_6425000_6430000	0.00063	0.00271	0.02501	0.00313	3	0.00222	0.01294	0.00256	0.01232	-0.82287	0.32241	0.01232	0.00474	0.25436	1	0	0	0	migration	1
LG06_6710000_6715000	0	0.00187	0.00477	0.00311	3	0.00213	0.00312	0.00218	0.00345	-0.1462	-0.60335	0.00285	0.00022	0.04348	0	1	0	0	migration	1
LG06_8510000_8515000	0.00145	0.00104	0.01057	0.00104	2	0.00086	0.00427	0.00091	0.00508	-0.33767	-1.02744	0.00549	0.00293	0.384	1	0	0	0	migration	1
LG06_12850000_12855000	0	0.00481	0.0113	0.00649	5	0.00433	0.0073	0.00495	0.00779	-0.80919	-0.40904	0.00751	0.0017	0.1376	0	1	0	0	migration	1
LG06_12915000_12920000	0.00145	0.00578	0.01053	0.00165	0	0.00293	0.00558	0.00326	0.00534	-0.63234	0.28854	0.0076	0.00334	0.2999	1	0	0	0	migration	1
LG06_13730000_13735000	0	0.00329	0.00616	0.00452	4	0.00381	0.00426	0.00342	0.00468	0.72409	-0.57443	0.00439	0.00036	0.0465	0	1	0	0	migration	1
LG06_13835000_13840000	0	0.00308	0.00451	0.00287	3	0.00267	0.00316	0.00261	0.00324	0.14912	-0.14792	0.00448	0.00157	0.22673	0	1	0	0	migration	1
LG06_15785000_15790000	0	0.00202	0.00323	4e-04	1	9e-04	0.00139	0.00106	0.00159	-0.91307	-0.80198	0.00124	9e-05	0.04103	0	1	0	0	migration	1
LG06_15840000_15845000	0	0.00162	0.00162	0.00142	2	0.00117	0.00121	0.00133	0.00133	-0.72185	-0.5342	0.00115	-5e-05	-0.02205	0	1	0	0	migration	1
LG06_16655000_16660000	0	0.00228	0.00166	0.00207	3	0.00187	0.00169	0.00191	0.00163	-0.13414	0.19733	0.002	0.00023	0.06545	0	1	0	0	migration	1
LG06_16695000_16700000	0	0.00253	0.0061	0.00589	3	0.0041	0.00499	0.00369	0.00525	0.70957	-0.31641	0.00466	0.00012	0.01411	0	1	0	0	migration	1
LG06_17815000_17820000	0	0.00613	0.01797	0.00592	6	0.00481	0.01	0.00528	0.01047	-0.57362	-0.29054	0.0103	0.0029	0.17618	0	1	0	0	migration	1
LG06_18185000_18190000	0	0.00389	0.00303	0.00735	9	0.00489	0.00424	0.00493	0.00455	-0.04891	-0.43307	0.00459	3e-05	0.00315	0	1	0	0	migration	1
LG06_20410000_20415000	0	0.01654	0.00424	0.00509	6	0.00807	0.004	0.00947	0.00409	-0.95578	-0.13382	0.00635	0.00031	0.02754	0	1	0	0	migration	1
LG06_20460000_20465000	0	0.00249	0.00574	0.00449	3	0.00311	0.00426	0.00306	0.00448	0.10512	-0.31621	0.00399	0.00031	0.04357	0	1	0	0	migration	1
LG06_20630000_20635000	0	0.00471	0.00321	0.018	21	0.0086	0.00806	0.00995	0.00929	-0.87616	-0.85821	0.00756	-0.00077	-0.05304	0	1	0	0	migration	1
LG06_21335000_21340000	0	0.00862	0.00379	0.00799	7	0.00708	0.00512	0.00728	0.00516	-0.17368	-0.05031	0.00601	-9e-05	-0.00843	0	1	0	0	migration	1
LG06_21345000_21350000	0	0.00813	0.00521	0.00625	6	0.00568	0.00475	0.0063	0.00502	-0.62896	-0.34303	0.00545	0.00024	0.0241	0	1	0	0	migration	1
LG06_21390000_21395000	0	0.00985	0.00398	0.00503	7	0.00548	0.00395	0.00651	0.00395	-1.02761	0.01172	0.00469	-2e-05	-0.0027	0	1	0	0	migration	1
LG06_21485000_21490000	0	0.00311	0.00539	0.00415	2	0.00315	0.00369	0.00318	0.00418	-0.05331	-0.745	0.00361	0.00018	0.02855	0	1	0	0	migration	1
LG06_22750000_22755000	0	0.00582	0.00561	0.01143	14	0.00765	0.00808	0.00755	0.00746	0.0798	0.53066	0.00882	0.00096	0.06234	0	1	0	0	migration	1
LG06_23015000_23020000	0	0.00682	0.00704	0.0066	2	0.00551	0.00588	0.00588	0.00597	-0.39664	-0.09943	0.00586	0.00017	0.01589	0	1	0	0	migration	1
LG07_720000_725000	0	0.00609	0.01523	0.01523	11	0.00937	0.01365	0.00934	0.01334	0.0208	0.14866	0.01249	0.00098	0.04446	0	1	0	0	migration	1
LG07_3085000_3090000	0	0.00546	0.00546	0.00787	12	0.00495	0.0058	0.00584	0.00584	-0.97404	-0.04378	0.00634	0.00096	0.08889	0	1	0	0	migration	1
LG07_3875000_3880000	0	0.00105	0.00506	0.00443	8	0.00204	0.00416	0.0024	0.00415	-0.95287	0.00821	0.00308	-2e-05	-0.00331	0	1	0	0	migration	1
LG07_4945000_4950000	0	0.00271	0.01167	0.01084	5	0.00611	0.00955	0.00593	0.00986	0.19574	-0.205	0.00784	1e-05	0.00064	0	1	0	0	migration	1
LG07_5440000_5445000	0	0.00208	0.00955	0.01121	12	0.00702	0.00958	0.00582	0.00909	1.32416	0.34499	0.00812	-0.00018	-0.01181	0	1	0	0	migration	1
LG07_5505000_5510000	0	0.00705	0.00518	0.00808	3	0.00627	0.00558	0.00662	0.00581	-0.3434	-0.25146	0.00591	-2e-05	-0.00191	0	1	0	0	migration	1
LG07_5535000_5540000	0	0.00105	0.00461	0.00461	9	0.0024	0.00397	0.00248	0.00404	-0.19127	-0.1117	0.0031	-9e-05	-0.01538	0	1	0	0	migration	1
LG07_5625000_5630000	0	0.00467	0.00849	0.00934	7	0.00648	0.00764	0.00614	0.00781	0.36244	-0.13827	0.00831	0.00124	0.08745	0	1	0	0	migration	1
LG07_6355000_6360000	0	0.00231	0.00294	0.00399	3	0.00281	0.00316	0.00276	0.00303	0.12599	0.26986	0.00296	-3e-05	-0.00471	0	1	0	0	migration	1
LG07_6550000_6555000	0	0.0044	0.00649	0.00649	2	0.00493	0.00614	0.00477	0.00569	0.21385	0.51614	0.00619	0.00065	0.06053	0	1	0	0	migration	1
LG07_7460000_7465000	0	0.00168	0.00653	0.00232	3	0.00154	0.00417	0.00175	0.00387	-0.74007	0.48809	0.00314	0.00028	0.05048	0	1	0	0	migration	1
LG07_8765000_8770000	0	0.00271	0.00584	0.00354	2	0.00263	0.00421	0.00274	0.00411	-0.25972	0.15964	0.0037	0.00028	0.04212	0	1	0	0	migration	1
LG07_8835000_8840000	0	0.00063	0.00754	0.00398	4	0.00233	0.00556	0.00202	0.00505	0.97517	0.65158	0.00419	0.00024	0.03268	0	1	0	0	migration	1
LG07_9100000_9105000	0	0.00144	0.00987	0.00144	1	0.00126	0.00432	0.00126	0.00495	0.00195	-0.82258	0.00341	0.00063	0.10905	0	1	0	0	migration	1
LG07_9160000_9165000	0	0.00186	0.00663	0.00414	2	0.00271	0.00442	0.00263	0.00472	0.18234	-0.40551	0.00406	5e-04	0.07103	0	1	0	0	migration	1
LG07_9695000_9700000	0	0.004	0.00631	0.00505	6	0.00342	0.00505	0.00396	0.00498	-0.8704	0.09504	0.00496	0.00072	0.08485	0	1	0	0	migration	1
LG07_10315000_10320000	0	0.00229	0.00707	0.00208	5	0.00158	0.0036	0.00191	0.00401	-1.08702	-0.64245	0.0027	0.00011	0.0228	0	1	0	0	migration	1
LG07_11675000_11680000	0.00254	0.01015	0.01037	0.00063	0	0.00446	0.00393	0.00473	0.00482	-0.36418	-1.17503	0.00797	0.00377	0.32906	1	0	0	0	migration	1
LG07_11875000_11880000	0	0.00333	0.01042	0.00188	1	0.00193	0.00546	0.00228	0.00538	-0.96787	0.08965	0.00516	0.00147	0.17809	0	1	0	0	migration	1
LG07_11970000_11975000	0	0.00148	0.00954	0.00212	2	0.0017	0.00526	0.00158	0.00511	0.46217	0.1898	0.00466	0.00119	0.15701	0	1	0	0	migration	1
LG07_12050000_12055000	0	0.00291	0.01787	0.00519	3	0.00314	0.01036	0.00355	0.0101	-0.72682	0.1668	0.00806	0.0013	0.09532	0	1	0	0	migration	1
LG07_13075000_13080000	0	0.00166	0.00934	0.01224	10	0.00552	0.00895	0.00609	0.00945	-0.6016	-0.34268	0.00784	6e-04	0.04356	0	1	0	0	migration	1
LG07_13125000_13130000	0	0.00519	0.00955	0.0054	6	0.00496	0.00633	0.00464	0.00655	0.4393	-0.21779	0.00591	0.00027	0.02501	0	1	0	0	migration	1
LG07_13695000_13700000	0	0.01029	0.01113	0.00609	6	0.0078	0.00704	0.00718	0.00754	0.56106	-0.42734	0.01081	0.00338	0.19918	0	1	0	0	migration	1
LG07_13960000_13965000	0	0.00623	0.00873	0.00333	2	0.00406	0.00507	0.00419	0.00528	-0.19456	-0.25321	0.00558	0.00101	0.10782	0	1	0	0	migration	1
LG07_14260000_14265000	0	0.00578	0.00578	0.01217	8	0.00773	0.00805	0.00786	0.00786	-0.10766	0.1521	0.0075	-0.00039	-0.02786	0	1	0	0	migration	1
LG07_14425000_14430000	0.00291	0.00187	0.00249	0	0	0.00079	0.00093	0.00082	0.00109	-0.21398	-0.91307	0.00408	0.00322	0.67212	0	0	1	0	migration	1
LG07_15265000_15270000	0	0.00042	0.00873	0.00166	2	0.00098	0.00469	0.00091	0.00455	0.48515	0.18595	0.00342	0.00058	0.1011	0	1	0	0	migration	1
LG07_15550000_15555000	0	0.00544	0.01967	0.00314	2	0.00349	0.00897	0.00376	0.00999	-0.45841	-0.65991	0.01171	0.00548	0.32418	0	1	0	0	migration	1
LG07_16240000_16245000	0	0.00244	0.0057	0.00041	0	0.00124	0.00286	0.00125	0.00267	-0.06482	0.44742	0.00378	0.00173	0.31505	0	1	0	0	migration	1
LG07_16605000_16610000	0.00104	0.00354	0.01103	0.0077	5	0.00431	0.00846	0.00492	0.0082	-0.7911	0.20487	0.01021	0.00382	0.24592	1	0	0	0	migration	1
LG07_16690000_16695000	0	0.00462	0.01322	0.00776	3	0.00485	0.00813	0.00542	0.00919	-0.67278	-0.74708	0.00928	0.00279	0.18984	0	1	0	0	migration	1
LG07_16755000_16760000	0	0.00041	0.01265	0.00083	0	0.00054	0.00554	0.00054	0.0059	-0.06042	-0.3918	0.00411	0.00107	0.16118	0	1	0	0	migration	1
LG07_16975000_16980000	0.00399	0.00693	0.01513	0.00126	2	0.00378	0.00732	0.00359	0.00718	0.34334	0.13326	0.01468	0.00913	0.47277	1	0	0	0	migration	1
LG07_17650000_17655000	0	0.00269	0.00269	0.00413	5	0.00255	0.00271	0.00299	0.00299	-0.93127	-0.57972	0.00288	0.00025	0.04932	0	1	0	0	migration	1
LG07_18390000_18395000	0	0.00253	0.00802	0.00274	3	0.00249	0.00388	0.00231	0.00471	0.48968	-1.12939	0.0038	0.00061	0.09482	0	1	0	0	migration	1
LG07_18940000_18945000	0	0.00274	0.01095	0.00253	4	0.00201	0.00545	0.00231	0.0059	-0.81445	-0.49621	0.00449	0.00077	0.10069	0	1	0	0	migration	1
LG07_18960000_18965000	0	0.00417	0.01585	0.00688	5	0.00474	0.00997	0.00484	0.00996	-0.13217	0.00851	0.00922	0.00187	0.12166	0	1	0	0	migration	1
LG07_20625000_20630000	0.0021	0.00189	0.01262	0.00063	0	0.00088	0.00621	0.00111	0.0058	-1.22175	0.45261	0.00748	0.00393	0.37671	1	0	0	0	migration	1
LG07_22365000_22370000	0.00021	0.00293	0.00586	0.00209	2	0.00215	0.00299	0.0022	0.00348	-0.1462	-0.90968	0.0055	0.00293	0.38387	1	0	0	0	migration	1
LG07_22520000_22525000	0.00062	0.00639	0.01216	0.0033	1	0.00421	0.0068	0.00424	0.00677	-0.05719	0.03007	0.00917	0.00367	0.26667	1	0	0	0	migration	1
LG07_23275000_23280000	0	0.00208	0.01454	0.00727	5	0.00391	0.00913	0.00409	0.00955	-0.29464	-0.28854	0.00691	4e-04	0.03216	0	1	0	0	migration	1
LG07_23570000_23575000	0	0.00125	0.00731	0.00334	7	0.00173	0.00457	0.00201	0.00467	-0.8906	-0.13461	0.00342	0.00028	0.04568	0	1	0	0	migration	1
LG07_23590000_23595000	0.00062	0.00312	0.00458	0.00229	2	0.00267	0.00269	0.00237	0.00301	0.78278	-0.6676	0.00396	0.00128	0.20636	1	0	0	0	migration	1
LG08_125000_130000	0	0.00421	0.00241	0.00862	10	0.00599	0.00426	0.00562	0.00483	0.42162	-0.75154	0.00689	0.00177	0.1584	0	1	0	0	migration	1
LG08_150000_155000	0.00061	0.00142	0.00933	0.00203	1	0.00143	0.00526	0.00151	0.00498	-0.31541	0.36846	0.00506	0.00171	0.21823	1	0	0	0	migration	1
LG08_515000_520000	0	0.00565	0.00356	0.00335	4	0.00399	0.00308	0.00394	0.00303	0.07958	0.12338	0.00409	0.00056	0.07894	0	1	0	0	migration	1
LG08_1385000_1390000	0	0.00794	0.00397	0.0069	2	0.0061	0.00439	0.0065	0.00476	-0.39246	-0.49936	0.00604	0.00079	0.07607	0	1	0	0	migration	1
LG08_1715000_1720000	0	0.00879	0.00503	0.00482	4	0.00554	0.00388	0.00596	0.00431	-0.45206	-0.6376	0.00461	-1e-04	-0.01227	0	1	0	0	migration	1
LG08_1895000_1900000	0	0.00251	0.01317	0.00816	9	0.00406	0.01002	0.00467	0.00934	-0.84244	0.47201	0.00861	0.00157	0.10835	0	1	0	0	migration	1
LG08_2120000_2125000	0	0.00629	0.0086	0.00525	4	0.00543	0.00544	0.00505	0.00606	0.47397	-0.66151	0.00675	0.00131	0.11659	0	1	0	0	migration	1
LG08_2380000_2385000	0	0.00296	0.00444	0.00719	12	0.00464	0.00521	0.00445	0.0051	0.2776	0.13651	0.00545	0.00053	0.0556	0	1	0	0	migration	1
LG08_2535000_2540000	0	0.00249	0.01101	0.00519	7	0.00353	0.00666	0.00337	0.00709	0.3127	-0.39519	0.006	9e-04	0.08829	0	1	0	0	migration	1
LG08_4010000_4015000	0	0.00292	0.00542	0.0025	4	0.00239	0.00325	0.00238	0.00347	0.04421	-0.39913	0.00391	0.00108	0.17296	0	1	0	0	migration	1
LG08_4620000_4625000	0	0.00565	0.00899	0.00648	2	0.00523	0.00669	0.00531	0.00678	-0.10151	-0.08127	0.00699	0.00103	0.08645	0	1	0	0	migration	1
LG08_4705000_4710000	0	0.00313	0.01001	0.00417	3	0.00312	0.00655	0.0032	0.00621	-0.16396	0.34992	0.00656	0.00173	0.16311	0	1	0	0	migration	1
LG08_4815000_4820000	0	0.00502	0.00586	0.00251	2	0.00315	0.00357	0.0033	0.00366	-0.28248	-0.16446	0.0041	0.00074	0.10741	0	1	0	0	migration	1
LG08_5775000_5780000	0	0.00352	0.00538	0.00641	6	0.00423	0.00481	0.00435	0.00516	-0.16911	-0.43644	0.00461	9e-05	0.01015	0	1	0	0	migration	1
