dataset	bialsites_avg	sf_avg	sxA_avg	sxB_avg	ss_avg	successive_ss_avg	piA_avg	piB_avg	thetaA_avg	thetaB_avg	DtajA_avg	DtajB_avg	divAB_avg	netdivAB_avg	minDivAB_avg	maxDivAB_avg	Gmin_avg	Gmax_avg	FST_avg	ss_sf	ss_noSf	noSs_sf	noSs_noSf
LG06_6425000_6430000	151.00000	0.00063	0.00271	0.02501	0.00313	3.00000	0.00222	0.01294	0.00256	0.01232	-0.82287	0.32241	0.01232	0.00474	0.00438	0.02126	0.35526	1.72556	0.25436	1.00000	0.00000	0.00000	0.00000
LG06_6710000_6715000	47.00000	0.00000	0.00187	0.00477	0.00311	3.00000	0.00213	0.00312	0.00218	0.00345	-0.14620	-0.60335	0.00285	0.00022	0.00083	0.00456	0.29150	1.60324	0.04348	0.00000	1.00000	0.00000	0.00000
LG06_8510000_8515000	68.00000	0.00145	0.00104	0.01057	0.00104	2.00000	0.00086	0.00427	0.00091	0.00508	-0.33767	-1.02744	0.00549	0.00293	0.00332	0.00829	0.60377	1.50943	0.38400	1.00000	0.00000	0.00000	0.00000
LG06_12850000_12855000	108.00000	0.00000	0.00481	0.01130	0.00649	5.00000	0.00433	0.00730	0.00495	0.00779	-0.80919	-0.40904	0.00751	0.00170	0.00105	0.01047	0.13932	1.39319	0.13760	0.00000	1.00000	0.00000	0.00000
LG06_12915000_12920000	94.00000	0.00145	0.00578	0.01053	0.00165	0.00000	0.00293	0.00558	0.00326	0.00534	-0.63234	0.28854	0.00760	0.00334	0.00413	0.01198	0.54381	1.57704	0.29990	1.00000	0.00000	0.00000	0.00000
LG06_13730000_13735000	68.00000	0.00000	0.00329	0.00616	0.00452	4.00000	0.00381	0.00426	0.00342	0.00468	0.72409	-0.57443	0.00439	0.00036	0.00164	0.00719	0.37403	1.63636	0.04650	0.00000	1.00000	0.00000	0.00000
LG06_13835000_13840000	51.00000	0.00000	0.00308	0.00451	0.00287	3.00000	0.00267	0.00316	0.00261	0.00324	0.14912	-0.14792	0.00448	0.00157	0.00144	0.00636	0.32061	1.41985	0.22673	0.00000	1.00000	0.00000	0.00000
LG06_15785000_15790000	28.00000	0.00000	0.00202	0.00323	0.00040	1.00000	0.00090	0.00139	0.00106	0.00159	-0.91307	-0.80198	0.00124	0.00009	0.00000	0.00283	0.00000	2.29091	0.04103	0.00000	1.00000	0.00000	0.00000
LG06_15840000_15845000	23.00000	0.00000	0.00162	0.00162	0.00142	2.00000	0.00117	0.00121	0.00133	0.00133	-0.72185	-0.53420	0.00115	-0.00005	0.00000	0.00243	0.00000	2.11765	-0.02205	0.00000	1.00000	0.00000	0.00000
LG06_16655000_16660000	29.00000	0.00000	0.00228	0.00166	0.00207	3.00000	0.00187	0.00169	0.00191	0.00163	-0.13414	0.19733	0.00200	0.00023	0.00041	0.00353	0.20690	1.75862	0.06545	0.00000	1.00000	0.00000	0.00000
LG06_16695000_16700000	69.00000	0.00000	0.00253	0.00610	0.00589	3.00000	0.00410	0.00499	0.00369	0.00525	0.70957	-0.31641	0.00466	0.00012	0.00084	0.00842	0.18045	1.80451	0.01411	0.00000	1.00000	0.00000	0.00000
LG06_17815000_17820000	142.00000	0.00000	0.00613	0.01797	0.00592	6.00000	0.00481	0.01000	0.00528	0.01047	-0.57362	-0.29054	0.01030	0.00290	0.00106	0.01459	0.10262	1.41619	0.17618	0.00000	1.00000	0.00000	0.00000
LG06_18185000_18190000	66.00000	0.00000	0.00389	0.00303	0.00735	9.00000	0.00489	0.00424	0.00493	0.00455	-0.04891	-0.43307	0.00459	0.00003	0.00173	0.00887	0.37696	1.93194	0.00315	0.00000	1.00000	0.00000	0.00000
LG06_20410000_20415000	122.00000	0.00000	0.01654	0.00424	0.00509	6.00000	0.00807	0.00400	0.00947	0.00409	-0.95578	-0.13382	0.00635	0.00031	0.00085	0.01951	0.13358	3.07236	0.02754	0.00000	1.00000	0.00000	0.00000
LG06_20460000_20465000	51.00000	0.00000	0.00249	0.00574	0.00449	3.00000	0.00311	0.00426	0.00306	0.00448	0.10512	-0.31621	0.00399	0.00031	0.00075	0.00698	0.18750	1.75000	0.04357	0.00000	1.00000	0.00000	0.00000
LG06_20630000_20635000	121.00000	0.00000	0.00471	0.00321	0.01800	21.00000	0.00860	0.00806	0.00995	0.00929	-0.87616	-0.85821	0.00756	-0.00077	0.00107	0.01971	0.14173	2.60787	-0.05304	0.00000	1.00000	0.00000	0.00000
LG06_21335000_21340000	97.00000	0.00000	0.00862	0.00379	0.00799	7.00000	0.00708	0.00512	0.00728	0.00516	-0.17368	-0.05031	0.00601	-0.00009	0.00168	0.01199	0.28016	1.99611	-0.00843	0.00000	1.00000	0.00000	0.00000
LG06_21345000_21350000	94.00000	0.00000	0.00813	0.00521	0.00625	6.00000	0.00568	0.00475	0.00630	0.00502	-0.62896	-0.34303	0.00545	0.00024	0.00313	0.01021	0.57325	1.87261	0.02410	0.00000	1.00000	0.00000	0.00000
LG06_21390000_21395000	90.00000	0.00000	0.00985	0.00398	0.00503	7.00000	0.00548	0.00395	0.00651	0.00395	-1.02761	0.01172	0.00469	-0.00002	0.00084	0.01299	0.17866	2.76923	-0.00270	0.00000	1.00000	0.00000	0.00000
LG06_21485000_21490000	61.00000	0.00000	0.00311	0.00539	0.00415	2.00000	0.00315	0.00369	0.00318	0.00418	-0.05331	-0.74500	0.00361	0.00018	0.00124	0.00809	0.34505	2.24281	0.02855	0.00000	1.00000	0.00000	0.00000
LG06_22750000_22755000	110.00000	0.00000	0.00582	0.00561	0.01143	14.00000	0.00765	0.00808	0.00755	0.00746	0.07980	0.53066	0.00882	0.00096	0.00083	0.01288	0.09424	1.46073	0.06234	0.00000	1.00000	0.00000	0.00000
LG06_23015000_23020000	93.00000	0.00000	0.00682	0.00704	0.00660	2.00000	0.00551	0.00588	0.00588	0.00597	-0.39664	-0.09943	0.00586	0.00017	0.00154	0.00880	0.26250	1.50000	0.01589	0.00000	1.00000	0.00000	0.00000
LG07_720000_725000	180.00000	0.00000	0.00609	0.01523	0.01523	11.00000	0.00937	0.01365	0.00934	0.01334	0.02080	0.14866	0.01249	0.00098	0.00366	0.02031	0.29268	1.62602	0.04446	0.00000	1.00000	0.00000	0.00000
LG07_3085000_3090000	86.00000	0.00000	0.00546	0.00546	0.00787	12.00000	0.00495	0.00580	0.00584	0.00584	-0.97404	-0.04378	0.00634	0.00096	0.00153	0.01158	0.24138	1.82759	0.08889	0.00000	1.00000	0.00000	0.00000
LG07_3875000_3880000	50.00000	0.00000	0.00105	0.00506	0.00443	8.00000	0.00204	0.00416	0.00240	0.00415	-0.95287	0.00821	0.00308	-0.00002	0.00084	0.00590	0.27376	1.91635	-0.00331	0.00000	1.00000	0.00000	0.00000
LG07_4945000_4950000	121.00000	0.00000	0.00271	0.01167	0.01084	5.00000	0.00611	0.00955	0.00593	0.00986	0.19574	-0.20500	0.00784	0.00001	0.00271	0.01147	0.34564	1.46233	0.00064	0.00000	1.00000	0.00000	0.00000
LG07_5440000_5445000	110.00000	0.00000	0.00208	0.00955	0.01121	12.00000	0.00702	0.00958	0.00582	0.00909	1.32416	0.34499	0.00812	-0.00018	0.00104	0.01453	0.12784	1.78977	-0.01181	0.00000	1.00000	0.00000	0.00000
LG07_5505000_5510000	98.00000	0.00000	0.00705	0.00518	0.00808	3.00000	0.00627	0.00558	0.00662	0.00581	-0.34340	-0.25146	0.00591	-0.00002	0.00186	0.01015	0.31579	1.71930	-0.00191	0.00000	1.00000	0.00000	0.00000
LG07_5535000_5540000	49.00000	0.00000	0.00105	0.00461	0.00461	9.00000	0.00240	0.00397	0.00248	0.00404	-0.19127	-0.11170	0.00310	-0.00009	0.00105	0.00482	0.33835	1.55639	-0.01538	0.00000	1.00000	0.00000	0.00000
LG07_5625000_5630000	106.00000	0.00000	0.00467	0.00849	0.00934	7.00000	0.00648	0.00764	0.00614	0.00781	0.36244	-0.13827	0.00831	0.00124	0.00276	0.01402	0.33239	1.68750	0.08745	0.00000	1.00000	0.00000	0.00000
LG07_6355000_6360000	44.00000	0.00000	0.00231	0.00294	0.00399	3.00000	0.00281	0.00316	0.00276	0.00303	0.12599	0.26986	0.00296	-0.00003	0.00084	0.00504	0.28346	1.70079	-0.00471	0.00000	1.00000	0.00000	0.00000
LG07_6550000_6555000	83.00000	0.00000	0.00440	0.00649	0.00649	2.00000	0.00493	0.00614	0.00477	0.00569	0.21385	0.51614	0.00619	0.00065	0.00105	0.01277	0.16917	2.06391	0.06053	0.00000	1.00000	0.00000	0.00000
LG07_7460000_7465000	50.00000	0.00000	0.00168	0.00653	0.00232	3.00000	0.00154	0.00417	0.00175	0.00387	-0.74007	0.48809	0.00314	0.00028	0.00042	0.00842	0.13433	2.68657	0.05048	0.00000	1.00000	0.00000	0.00000
LG07_8765000_8770000	58.00000	0.00000	0.00271	0.00584	0.00354	2.00000	0.00263	0.00421	0.00274	0.00411	-0.25972	0.15964	0.00370	0.00028	0.00083	0.00667	0.22571	1.80564	0.04212	0.00000	1.00000	0.00000	0.00000
LG07_8835000_8840000	58.00000	0.00000	0.00063	0.00754	0.00398	4.00000	0.00233	0.00556	0.00202	0.00505	0.97517	0.65158	0.00419	0.00024	0.00021	0.00922	0.05000	2.20000	0.03268	0.00000	1.00000	0.00000	0.00000
LG07_9100000_9105000	62.00000	0.00000	0.00144	0.00987	0.00144	1.00000	0.00126	0.00432	0.00126	0.00495	0.00195	-0.82258	0.00341	0.00063	0.00000	0.00884	0.00000	2.58863	0.10905	0.00000	1.00000	0.00000	0.00000
LG07_9160000_9165000	61.00000	0.00000	0.00186	0.00663	0.00414	2.00000	0.00271	0.00442	0.00263	0.00472	0.18234	-0.40551	0.00406	0.00050	0.00083	0.00683	0.20397	1.68272	0.07103	0.00000	1.00000	0.00000	0.00000
LG07_9695000_9700000	73.00000	0.00000	0.00400	0.00631	0.00505	6.00000	0.00342	0.00505	0.00396	0.00498	-0.87040	0.09504	0.00496	0.00072	0.00168	0.00800	0.33962	1.61321	0.08485	0.00000	1.00000	0.00000	0.00000
LG07_10315000_10320000	55.00000	0.00000	0.00229	0.00707	0.00208	5.00000	0.00158	0.00360	0.00191	0.00401	-1.08702	-0.64245	0.00270	0.00011	0.00000	0.00749	0.00000	2.76923	0.02280	0.00000	1.00000	0.00000	0.00000
LG07_11675000_11680000	112.00000	0.00254	0.01015	0.01037	0.00063	0.00000	0.00446	0.00393	0.00473	0.00482	-0.36418	-1.17503	0.00797	0.00377	0.00465	0.01227	0.58407	1.53982	0.32906	1.00000	0.00000	0.00000	0.00000
LG07_11875000_11880000	75.00000	0.00000	0.00333	0.01042	0.00188	1.00000	0.00193	0.00546	0.00228	0.00538	-0.96787	0.08965	0.00516	0.00147	0.00042	0.00771	0.08072	1.49327	0.17809	0.00000	1.00000	0.00000	0.00000
LG07_11970000_11975000	62.00000	0.00000	0.00148	0.00954	0.00212	2.00000	0.00170	0.00526	0.00158	0.00511	0.46217	0.18980	0.00466	0.00119	0.00085	0.00911	0.18182	1.95455	0.15701	0.00000	1.00000	0.00000	0.00000
LG07_12050000_12055000	125.00000	0.00000	0.00291	0.01787	0.00519	3.00000	0.00314	0.01036	0.00355	0.01010	-0.72682	0.16680	0.00806	0.00130	0.00062	0.01392	0.07736	1.72779	0.09532	0.00000	1.00000	0.00000	0.00000
LG07_13075000_13080000	112.00000	0.00000	0.00166	0.00934	0.01224	10.00000	0.00552	0.00895	0.00609	0.00945	-0.60160	-0.34268	0.00784	0.00060	0.00207	0.01266	0.26471	1.61471	0.04356	0.00000	1.00000	0.00000	0.00000
LG07_13125000_13130000	97.00000	0.00000	0.00519	0.00955	0.00540	6.00000	0.00496	0.00633	0.00464	0.00655	0.43930	-0.21779	0.00591	0.00027	0.00021	0.01329	0.03516	2.25000	0.02501	0.00000	1.00000	0.00000	0.00000
LG07_13695000_13700000	131.00000	0.00000	0.01029	0.01113	0.00609	6.00000	0.00780	0.00704	0.00718	0.00754	0.56106	-0.42734	0.01081	0.00338	0.00252	0.01575	0.23326	1.45788	0.19918	0.00000	1.00000	0.00000	0.00000
LG07_13960000_13965000	88.00000	0.00000	0.00623	0.00873	0.00333	2.00000	0.00406	0.00507	0.00419	0.00528	-0.19456	-0.25321	0.00558	0.00101	0.00145	0.01205	0.26087	2.16149	0.10782	0.00000	1.00000	0.00000	0.00000
LG07_14260000_14265000	115.00000	0.00000	0.00578	0.00578	0.01217	8.00000	0.00773	0.00805	0.00786	0.00786	-0.10766	0.15210	0.00750	-0.00039	0.00165	0.01506	0.22018	2.00917	-0.02786	0.00000	1.00000	0.00000	0.00000
LG07_14425000_14430000	35.00000	0.00291	0.00187	0.00249	0.00000	0.00000	0.00079	0.00093	0.00082	0.00109	-0.21398	-0.91307	0.00408	0.00322	0.00332	0.00540	0.81356	1.32203	0.67212	0.00000	0.00000	1.00000	0.00000
LG07_15265000_15270000	52.00000	0.00000	0.00042	0.00873	0.00166	2.00000	0.00098	0.00469	0.00091	0.00455	0.48515	0.18595	0.00342	0.00058	0.00021	0.00561	0.06081	1.64189	0.10110	0.00000	1.00000	0.00000	0.00000
LG07_15550000_15555000	135.00000	0.00000	0.00544	0.01967	0.00314	2.00000	0.00349	0.00897	0.00376	0.00999	-0.45841	-0.65991	0.01171	0.00548	0.00042	0.01611	0.03575	1.37637	0.32418	0.00000	1.00000	0.00000	0.00000
LG07_16240000_16245000	42.00000	0.00000	0.00244	0.00570	0.00041	0.00000	0.00124	0.00286	0.00125	0.00267	-0.06482	0.44742	0.00378	0.00173	0.00102	0.00651	0.26946	1.72455	0.31505	0.00000	1.00000	0.00000	0.00000
LG07_16605000_16610000	112.00000	0.00104	0.00354	0.01103	0.00770	5.00000	0.00431	0.00846	0.00492	0.00820	-0.79110	0.20487	0.01021	0.00382	0.00520	0.01311	0.50963	1.28426	0.24592	1.00000	0.00000	0.00000	0.00000
LG07_16690000_16695000	122.00000	0.00000	0.00462	0.01322	0.00776	3.00000	0.00485	0.00813	0.00542	0.00919	-0.67278	-0.74708	0.00928	0.00279	0.00021	0.01364	0.02261	1.46985	0.18984	0.00000	1.00000	0.00000	0.00000
LG07_16755000_16760000	67.00000	0.00000	0.00041	0.01265	0.00083	0.00000	0.00054	0.00554	0.00054	0.00590	-0.06042	-0.39180	0.00411	0.00107	0.00145	0.00788	0.35294	1.91597	0.16118	0.00000	1.00000	0.00000	0.00000
LG07_16975000_16980000	130.00000	0.00399	0.00693	0.01513	0.00126	2.00000	0.00378	0.00732	0.00359	0.00718	0.34334	0.13326	0.01468	0.00913	0.00735	0.01933	0.50079	1.31638	0.47277	1.00000	0.00000	0.00000	0.00000
LG07_17650000_17655000	46.00000	0.00000	0.00269	0.00269	0.00413	5.00000	0.00255	0.00271	0.00299	0.00299	-0.93127	-0.57972	0.00288	0.00025	0.00062	0.00661	0.21514	2.29482	0.04932	0.00000	1.00000	0.00000	0.00000
LG07_18390000_18395000	63.00000	0.00000	0.00253	0.00802	0.00274	3.00000	0.00249	0.00388	0.00231	0.00471	0.48968	-1.12939	0.00380	0.00061	0.00084	0.00739	0.22222	1.94444	0.09482	0.00000	1.00000	0.00000	0.00000
LG07_18940000_18945000	77.00000	0.00000	0.00274	0.01095	0.00253	4.00000	0.00201	0.00545	0.00231	0.00590	-0.81445	-0.49621	0.00449	0.00077	0.00021	0.00884	0.04688	1.96875	0.10069	0.00000	1.00000	0.00000	0.00000
LG07_18960000_18965000	129.00000	0.00000	0.00417	0.01585	0.00688	5.00000	0.00474	0.00997	0.00484	0.00996	-0.13217	0.00851	0.00922	0.00187	0.00334	0.01335	0.36181	1.44724	0.12166	0.00000	1.00000	0.00000	0.00000
LG07_20625000_20630000	82.00000	0.00210	0.00189	0.01262	0.00063	0.00000	0.00088	0.00621	0.00111	0.00580	-1.22175	0.45261	0.00748	0.00393	0.00336	0.01262	0.45000	1.68750	0.37671	1.00000	0.00000	0.00000	0.00000
LG07_22365000_22370000	53.00000	0.00021	0.00293	0.00586	0.00209	2.00000	0.00215	0.00299	0.00220	0.00348	-0.14620	-0.90968	0.00550	0.00293	0.00063	0.00732	0.11416	1.33192	0.38387	1.00000	0.00000	0.00000	0.00000
LG07_22520000_22525000	109.00000	0.00062	0.00639	0.01216	0.00330	1.00000	0.00421	0.00680	0.00424	0.00677	-0.05719	0.03007	0.00917	0.00367	0.00392	0.01422	0.42697	1.55056	0.26667	1.00000	0.00000	0.00000	0.00000
LG07_23275000_23280000	115.00000	0.00000	0.00208	0.01454	0.00727	5.00000	0.00391	0.00913	0.00409	0.00955	-0.29464	-0.28854	0.00691	0.00040	0.00125	0.01351	0.18030	1.95326	0.03216	0.00000	1.00000	0.00000	0.00000
LG07_23570000_23575000	57.00000	0.00000	0.00125	0.00731	0.00334	7.00000	0.00173	0.00457	0.00201	0.00467	-0.89060	-0.13461	0.00342	0.00028	0.00021	0.00564	0.06102	1.64746	0.04568	0.00000	1.00000	0.00000	0.00000
LG07_23590000_23595000	51.00000	0.00062	0.00312	0.00458	0.00229	2.00000	0.00267	0.00269	0.00237	0.00301	0.78278	-0.66760	0.00396	0.00128	0.00125	0.00604	0.31579	1.52632	0.20636	1.00000	0.00000	0.00000	0.00000
LG08_125000_130000	76.00000	0.00000	0.00421	0.00241	0.00862	10.00000	0.00599	0.00426	0.00562	0.00483	0.42162	-0.75154	0.00689	0.00177	0.00020	0.01022	0.02908	1.48304	0.15840	0.00000	1.00000	0.00000	0.00000
LG08_150000_155000	66.00000	0.00061	0.00142	0.00933	0.00203	1.00000	0.00143	0.00526	0.00151	0.00498	-0.31541	0.36846	0.00506	0.00171	0.00122	0.00872	0.24053	1.72383	0.21823	1.00000	0.00000	0.00000	0.00000
LG08_515000_520000	60.00000	0.00000	0.00565	0.00356	0.00335	4.00000	0.00399	0.00308	0.00394	0.00303	0.07958	0.12338	0.00409	0.00056	0.00147	0.00775	0.35795	1.89205	0.07894	0.00000	1.00000	0.00000	0.00000
LG08_1385000_1390000	90.00000	0.00000	0.00794	0.00397	0.00690	2.00000	0.00610	0.00439	0.00650	0.00476	-0.39246	-0.49936	0.00604	0.00079	0.00188	0.00982	0.31154	1.62692	0.07607	0.00000	1.00000	0.00000	0.00000
LG08_1715000_1720000	89.00000	0.00000	0.00879	0.00503	0.00482	4.00000	0.00554	0.00388	0.00596	0.00431	-0.45206	-0.63760	0.00461	-0.00010	0.00063	0.01214	0.13636	2.63636	-0.01227	0.00000	1.00000	0.00000	0.00000
LG08_1895000_1900000	114.00000	0.00000	0.00251	0.01317	0.00816	9.00000	0.00406	0.01002	0.00467	0.00934	-0.84244	0.47201	0.00861	0.00157	0.00084	0.01255	0.09717	1.45749	0.10835	0.00000	1.00000	0.00000	0.00000
LG08_2120000_2125000	96.00000	0.00000	0.00629	0.00860	0.00525	4.00000	0.00543	0.00544	0.00505	0.00606	0.47397	-0.66151	0.00675	0.00131	0.00294	0.00944	0.43523	1.39896	0.11659	0.00000	1.00000	0.00000	0.00000
LG08_2380000_2385000	69.00000	0.00000	0.00296	0.00444	0.00719	12.00000	0.00464	0.00521	0.00445	0.00510	0.27760	0.13651	0.00545	0.00053	0.00042	0.01079	0.07759	1.97845	0.05560	0.00000	1.00000	0.00000	0.00000
LG08_2535000_2540000	90.00000	0.00000	0.00249	0.01101	0.00519	7.00000	0.00353	0.00666	0.00337	0.00709	0.31270	-0.39519	0.00600	0.00090	0.00083	0.01516	0.13846	2.52692	0.08829	0.00000	1.00000	0.00000	0.00000
LG08_4010000_4015000	52.00000	0.00000	0.00292	0.00542	0.00250	4.00000	0.00239	0.00325	0.00238	0.00347	0.04421	-0.39913	0.00391	0.00108	0.00021	0.00584	0.05341	1.49555	0.17296	0.00000	1.00000	0.00000	0.00000
LG08_4620000_4625000	101.00000	0.00000	0.00565	0.00899	0.00648	2.00000	0.00523	0.00669	0.00531	0.00678	-0.10151	-0.08127	0.00699	0.00103	0.00251	0.00983	0.35880	1.40532	0.08645	0.00000	1.00000	0.00000	0.00000
LG08_4705000_4710000	83.00000	0.00000	0.00313	0.01001	0.00417	3.00000	0.00312	0.00655	0.00320	0.00621	-0.16396	0.34992	0.00656	0.00173	0.00042	0.01168	0.06360	1.78092	0.16311	0.00000	1.00000	0.00000	0.00000
LG08_4815000_4820000	64.00000	0.00000	0.00502	0.00586	0.00251	2.00000	0.00315	0.00357	0.00330	0.00366	-0.28248	-0.16446	0.00410	0.00074	0.00063	0.00878	0.15297	2.14164	0.10741	0.00000	1.00000	0.00000	0.00000
LG08_5775000_5780000	74.00000	0.00000	0.00352	0.00538	0.00641	6.00000	0.00423	0.00481	0.00435	0.00516	-0.16911	-0.43644	0.00461	0.00009	0.00000	0.00910	0.00000	1.97506	0.01015	0.00000	1.00000	0.00000	0.00000
LG08_6375000_6380000	63.00000	0.00000	0.00206	0.00618	0.00474	5.00000	0.00249	0.00495	0.00298	0.00478	-1.04845	0.21782	0.00500	0.00129	0.00021	0.00763	0.04119	1.52403	0.15887	0.00000	1.00000	0.00000	0.00000
LG08_6625000_6630000	76.00000	0.00000	0.00062	0.01078	0.00436	4.00000	0.00225	0.00583	0.00218	0.00663	0.21289	-0.77328	0.00407	0.00002	0.00041	0.00850	0.10198	2.09065	0.00310	0.00000	1.00000	0.00000	0.00000
LG08_6755000_6760000	82.00000	0.00000	0.00718	0.00401	0.00612	6.00000	0.00560	0.00398	0.00583	0.00444	-0.24655	-0.65642	0.00601	0.00121	0.00021	0.01056	0.03516	1.75781	0.12129	0.00000	1.00000	0.00000	0.00000
LG08_6790000_6795000	94.00000	0.00021	0.00859	0.00859	0.00230	1.00000	0.00427	0.00473	0.00477	0.00477	-0.66827	-0.04891	0.00564	0.00114	0.00209	0.01131	0.37113	2.00412	0.12136	1.00000	0.00000	0.00000	0.00000
LG08_7065000_7070000	99.00000	0.00000	0.00549	0.01245	0.00295	3.00000	0.00333	0.00630	0.00370	0.00675	-0.62575	-0.42400	0.00657	0.00175	0.00190	0.01055	0.28929	1.60714	0.16510	0.00000	1.00000	0.00000	0.00000
LG08_7095000_7100000	89.00000	0.00000	0.00443	0.00991	0.00443	2.00000	0.00378	0.00548	0.00388	0.00628	-0.15999	-0.81721	0.00521	0.00058	0.00063	0.01160	0.12135	2.22472	0.06404	0.00000	1.00000	0.00000	0.00000
LG08_7125000_7130000	77.00000	0.00000	0.00624	0.00624	0.00353	4.00000	0.00373	0.00427	0.00428	0.00428	-0.82415	-0.01574	0.00546	0.00146	0.00187	0.01143	0.34249	2.09302	0.16651	0.00000	1.00000	0.00000	0.00000
LG08_7855000_7860000	77.00000	0.00149	0.00277	0.01001	0.00213	3.00000	0.00172	0.00512	0.00215	0.00532	-1.25109	-0.23067	0.00561	0.00219	0.00341	0.00873	0.60759	1.55696	0.25846	1.00000	0.00000	0.00000	0.00000
LG08_8650000_8655000	54.00000	0.00000	0.00378	0.00504	0.00252	3.00000	0.00280	0.00322	0.00276	0.00331	0.09385	-0.17483	0.00366	0.00065	0.00021	0.00630	0.05732	1.71975	0.10586	0.00000	1.00000	0.00000	0.00000
LG08_9170000_9175000	93.00000	0.00000	0.00508	0.00656	0.00804	7.00000	0.00508	0.00546	0.00574	0.00639	-0.74656	-0.94142	0.00676	0.00149	0.00402	0.01037	0.59478	1.53391	0.13368	0.00000	1.00000	0.00000	0.00000
LG08_9300000_9305000	69.00000	0.00000	0.00188	0.01025	0.00230	2.00000	0.00212	0.00474	0.00183	0.00550	0.98017	-0.88294	0.00350	0.00007	0.00000	0.00983	0.00000	2.81063	0.01060	0.00000	1.00000	0.00000	0.00000
LG08_9940000_9945000	49.00000	0.00000	0.00229	0.00458	0.00333	3.00000	0.00218	0.00345	0.00246	0.00346	-0.72532	-0.01621	0.00314	0.00033	0.00021	0.00686	0.06618	2.18382	0.05979	0.00000	1.00000	0.00000	0.00000
LG08_10455000_10460000	95.00000	0.00000	0.00747	0.00747	0.00477	3.00000	0.00487	0.00478	0.00536	0.00536	-0.58991	-0.68936	0.00555	0.00073	0.00062	0.01141	0.11203	2.05394	0.07605	0.00000	1.00000	0.00000	0.00000
LG08_10870000_10875000	69.00000	0.00000	0.00175	0.00568	0.00765	6.00000	0.00468	0.00548	0.00411	0.00584	0.87122	-0.39664	0.00527	0.00019	0.00044	0.00874	0.08295	1.65899	0.02019	0.00000	1.00000	0.00000	0.00000
LG08_11630000_11635000	126.00000	0.00000	0.01065	0.01149	0.00418	3.00000	0.00730	0.00685	0.00650	0.00686	0.79499	-0.00917	0.00873	0.00165	0.00000	0.01943	0.00000	2.22606	0.11302	0.00000	1.00000	0.00000	0.00000
LG08_11945000_11950000	63.00000	0.00000	0.00397	0.00669	0.00251	1.00000	0.00312	0.00433	0.00284	0.00403	0.63360	0.48539	0.00438	0.00065	0.00021	0.00774	0.04775	1.76658	0.08689	0.00000	1.00000	0.00000	0.00000
LG08_11990000_11995000	92.00000	0.00000	0.00315	0.01134	0.00483	3.00000	0.00407	0.00687	0.00349	0.00708	1.05595	-0.18911	0.00668	0.00121	0.00084	0.01281	0.12565	1.91623	0.10768	0.00000	1.00000	0.00000	0.00000
LG08_12625000_12630000	68.00000	0.00000	0.00083	0.01196	0.00124	1.00000	0.00077	0.00572	0.00090	0.00578	-0.88622	-0.06789	0.00430	0.00105	0.00000	0.00763	0.00000	1.77600	0.15025	0.00000	1.00000	0.00000	0.00000
LG08_13115000_13120000	68.00000	0.00041	0.00413	0.00536	0.00413	7.00000	0.00397	0.00341	0.00361	0.00416	0.63674	-1.14725	0.00471	0.00102	0.00144	0.00908	0.30657	1.92701	0.13068	1.00000	0.00000	0.00000	0.00000
LG08_13225000_13230000	55.00000	0.00000	0.00380	0.00528	0.00253	1.00000	0.00262	0.00372	0.00277	0.00342	-0.35615	0.54851	0.00456	0.00140	0.00021	0.00739	0.04627	1.61954	0.19381	0.00000	1.00000	0.00000	0.00000
LG08_15310000_15315000	75.00000	0.00000	0.00396	0.01020	0.00146	1.00000	0.00254	0.00518	0.00237	0.00511	0.45042	0.08928	0.00467	0.00081	0.00062	0.00958	0.13366	2.04950	0.10323	0.00000	1.00000	0.00000	0.00000
LG08_16580000_16585000	81.00000	0.00000	0.00453	0.00577	0.00639	4.00000	0.00442	0.00526	0.00478	0.00532	-0.48215	-0.07610	0.00602	0.00118	0.00041	0.01030	0.06844	1.71103	0.11725	0.00000	1.00000	0.00000	0.00000
LG08_16600000_16605000	79.00000	0.00000	0.00375	0.01022	0.00250	1.00000	0.00282	0.00546	0.00274	0.00557	0.19028	-0.12398	0.00489	0.00075	0.00083	0.00938	0.17062	1.91943	0.08944	0.00000	1.00000	0.00000	0.00000
LG08_16655000_16660000	75.00000	0.00000	0.00313	0.01023	0.00230	2.00000	0.00207	0.00511	0.00238	0.00549	-0.80515	-0.44278	0.00437	0.00078	0.00125	0.00814	0.28647	1.86207	0.10614	0.00000	1.00000	0.00000	0.00000
LG08_16925000_16930000	96.00000	0.00000	0.00917	0.00646	0.00438	2.00000	0.00533	0.00383	0.00593	0.00475	-0.64791	-1.23133	0.00729	0.00271	0.00083	0.01229	0.11429	1.68571	0.24375	0.00000	1.00000	0.00000	0.00000
LG08_17325000_17330000	95.00000	0.00000	0.00319	0.01381	0.00319	1.00000	0.00340	0.00599	0.00279	0.00745	1.37957	-1.25838	0.00656	0.00187	0.00255	0.01041	0.38849	1.58633	0.17825	0.00000	1.00000	0.00000	0.00000
LG08_17340000_17345000	102.00000	0.00000	0.00559	0.01179	0.00372	2.00000	0.00458	0.00636	0.00408	0.00680	0.78698	-0.41464	0.00689	0.00142	0.00248	0.01138	0.36060	1.65275	0.12376	0.00000	1.00000	0.00000	0.00000
